x,cumC1,lowCI,uppCI
-4,0.000413576,-0.013968046,0.014875504
-3,0.009917072,-0.011802865,0.031820834
-2,-0.004936489,-0.032175066,0.022425908
-1,0.002293018,-0.030041427,0.03471786
0,0.508108606,0.458379226,0.557728244
1,0.68411531,0.62860952,0.739418011
2,0.787652513,0.727489062,0.847587668
3,0.832201093,0.766924371,0.897273942
4,0.865877232,0.793330435,0.938092163
5,0.891446024,0.808184156,0.97443561
